"Latest Tweets","Latest Tweets"
"about","sobre"
"days ago","días atrás"
"hours ago","horas atrás"
"minutes ago","minutos atrás"
"seconds ago","segundos atrás"
"Flickr Stream","Flickr Stream"
"Email address","Email"
"Join","Join"
"Enter your e-mail Address","Ingresá tu correo electrónico"
"SEARCH","BUSCAR"
"Cart %s items for %s","Cart %s items for %s"
"Cart %s item for %s","Cart %s item for %s"
"Shopping Cart","Carrito de compras"
"All Categories","Todas las categorias"
"Catalog Category Search","Catalog Category Search"
"Search","Buscar"
"Search entire store here...","Search here..."
"Select Category On Category Pages","Select Category On Category Pages"
"Show Subcategories","Show Subcategories"
"Subcategory Indentation","Subcategory Indentation"
"Be the First to Know","Se el primero en enterarte"
"Submit","Enviar"
"You've just added this product to the cart:","Ya se agregó este producto a tu pedido"
